step,fl_shoulder_joint_rad,fr_shoulder_joint_rad,bl_shoulder_joint_rad,br_shoulder_joint_rad,fl_thigh_joint_rad,fr_thigh_joint_rad,bl_thigh_joint_rad,br_thigh_joint_rad,fl_calf_joint_rad,fr_calf_joint_rad,bl_calf_joint_rad,br_calf_joint_rad,fl_shoulder_joint_deg,fr_shoulder_joint_deg,bl_shoulder_joint_deg,br_shoulder_joint_deg,fl_thigh_joint_deg,fr_thigh_joint_deg,bl_thigh_joint_deg,br_thigh_joint_deg,fl_calf_joint_deg,fr_calf_joint_deg,bl_calf_joint_deg,br_calf_joint_deg,fl_shoulder_joint_servo,fr_shoulder_joint_servo,bl_shoulder_joint_servo,br_shoulder_joint_servo,fl_thigh_joint_servo,fr_thigh_joint_servo,bl_thigh_joint_servo,br_thigh_joint_servo,fl_calf_joint_servo,fr_calf_joint_servo,bl_calf_joint_servo,br_calf_joint_servo
40,-0.122502,-0.079407,-0.300000,0.300000,0.600000,-1.089843,0.266234,0.600000,0.537690,-0.150000,0.937001,-0.150000,-7.019,-4.550,-17.189,17.189,34.377,-62.443,15.254,34.377,30.807,-8.594,53.686,-8.594,1967.1,1995.2,1851.4,1851.4,1655.9,2757.5,2220.6,2438.1,2397.5,2144.8,1436.2,2144.8
41,0.130708,-0.300000,0.120707,-0.122508,0.600000,-1.200000,-0.089886,0.600000,0.185890,0.811102,-0.150000,1.321532,7.489,-17.189,6.916,-7.019,34.377,-68.755,-5.150,34.377,10.651,46.473,-8.594,75.718,2132.2,1851.4,2125.7,2126.9,1655.9,2829.3,1988.4,2438.1,2168.2,1518.2,2144.8,1185.5
42,0.071908,-0.300000,0.300000,-0.300000,0.035711,-1.200000,-0.344953,-0.278792,1.570796,0.425466,-0.150000,1.570796,4.120,-17.189,17.189,-17.189,2.046,-68.755,-19.764,-15.974,90.000,24.377,-8.594,90.000,2093.9,1851.4,2242.6,2242.6,2023.7,2829.3,1822.1,1865.3,3071.0,1769.6,2144.8,1023.0
43,-0.029246,-0.300000,0.262922,-0.132599,-0.562021,-1.024345,-1.200000,-0.284176,0.874950,0.239003,-0.150000,1.570796,-1.676,-17.189,15.064,-7.597,-32.201,-58.691,-68.755,-16.282,50.131,13.694,-8.594,90.000,2027.9,1851.4,2218.4,2133.4,2413.4,2714.8,1264.7,1861.7,2617.4,1891.2,2144.8,1023.0
44,-0.265212,-0.300000,0.300000,-0.300000,-0.731670,-0.429139,-0.683146,-0.536566,1.255396,0.901647,-0.150000,1.570796,-15.196,-17.189,17.189,-17.189,-41.922,-24.588,-39.141,-30.743,71.929,51.661,-8.594,90.000,1874.1,1851.4,2242.6,2242.6,2524.0,2326.8,1601.7,1697.2,2865.4,1459.2,2144.8,1023.0
45,-0.256489,-0.300000,0.300000,-0.300000,-0.493498,-0.273998,-0.532288,-0.172023,1.104408,1.040246,-0.150000,1.570796,-14.696,-17.189,17.189,-17.189,-28.275,-15.699,-30.498,-9.856,63.278,59.602,-8.594,90.000,1879.8,1851.4,2242.6,2242.6,2368.7,2225.6,1700.0,1934.9,2767.0,1368.9,2144.8,1023.0
46,-0.050822,-0.300000,0.300000,-0.300000,-0.325705,-0.579613,-0.216821,-0.172195,0.498192,1.335207,-0.150000,1.570796,-2.912,-17.189,17.189,-17.189,-18.661,-33.209,-12.423,-9.866,28.544,76.502,-8.594,90.000,2013.9,1851.4,2242.6,2242.6,2259.3,2424.8,1905.7,1934.7,2371.8,1176.6,2144.8,1023.0
47,0.115580,-0.300000,0.277612,-0.230602,-0.007773,-0.780242,0.179090,0.004897,0.040142,1.570796,-0.150000,1.570796,6.622,-17.189,15.906,-13.213,-0.445,-44.705,10.261,0.281,2.300,90.000,-8.594,90.000,2122.3,1851.4,2228.0,2197.3,2052.1,2555.6,2163.7,2050.2,2073.2,1023.0,2144.8,1023.0
48,0.171828,-0.300000,-0.300000,0.300000,0.483770,-0.655022,-0.003010,0.600000,1.570796,0.422315,0.051426,0.563769,9.845,-17.189,-17.189,17.189,27.718,-37.530,-0.172,34.377,90.000,24.197,2.946,32.302,2159.0,1851.4,1851.4,1851.4,1731.6,2474.0,2045.0,2438.1,3071.0,1771.7,2013.5,1679.5
49,0.236220,0.179536,-0.300000,0.277482,-0.044041,-0.377428,0.153482,-0.120096,0.635172,0.159887,1.155194,-0.150000,13.534,10.287,-17.189,15.899,-2.523,-21.625,8.794,-6.881,36.393,9.161,66.188,-8.594,2201.0,2164.0,1851.4,1866.1,2075.7,2293.0,2147.1,1968.7,2461.1,1942.8,1293.9,2144.8
50,0.103672,0.246388,-0.300000,0.300000,0.031651,-0.533135,0.431150,0.086185,0.859297,-0.150000,0.920669,-0.150000,5.940,14.117,-17.189,17.189,1.813,-30.546,24.703,4.938,49.234,-8.594,52.750,-8.594,2114.6,2207.6,1851.4,1851.4,2026.4,2394.6,2328.1,2103.2,2607.2,2144.8,1446.8,2144.8
51,0.075114,0.272615,-0.300000,0.300000,0.069320,-0.364415,0.190079,0.274888,0.968962,-0.150000,0.776076,-0.150000,4.304,15.620,-17.189,17.189,3.972,-20.879,10.891,15.750,55.517,-8.594,44.466,-8.594,2096.0,2224.7,1851.4,1851.4,2001.8,2284.6,2170.9,2226.2,2678.7,2144.8,1541.1,2144.8
52,0.114180,0.159084,-0.300000,0.300000,0.252296,-0.618842,0.555696,0.599686,0.795316,-0.150000,0.704774,-0.150000,6.542,9.115,-17.189,17.189,14.456,-35.457,31.839,34.359,45.568,-8.594,40.381,-8.594,2121.4,2150.7,1851.4,1851.4,1882.5,2450.4,2409.3,2437.9,2565.5,2144.8,1587.6,2144.8
53,0.085680,0.089581,-0.300000,0.300000,0.471464,-0.796381,0.514924,0.600000,0.927027,-0.150000,0.633757,-0.150000,4.909,5.133,-17.189,17.189,27.013,-45.629,29.503,34.377,53.115,-8.594,36.312,-8.594,2102.9,2105.4,1851.4,1851.4,1739.7,2566.2,2382.7,2438.1,2651.3,2144.8,1633.9,2144.8
54,-0.054740,-0.220171,-0.300000,0.040374,0.600000,-1.200000,0.083372,0.600000,0.479092,-0.150000,-0.150000,0.013575,-3.136,-12.615,-17.189,2.313,34.377,-68.755,4.777,34.377,27.450,-8.594,-8.594,0.778,2011.3,1903.5,1851.4,2020.7,1655.9,2829.3,2101.4,2438.1,2359.3,2144.8,2144.8,2038.2
55,-0.042138,-0.300000,0.300000,-0.216422,0.600000,-1.200000,0.554794,0.600000,1.315608,0.989652,-0.150000,1.570796,-2.414,-17.189,17.189,-12.400,34.377,-68.755,31.787,34.377,75.379,56.703,-8.594,90.000,2019.5,1851.4,2242.6,2188.1,1655.9,2829.3,2408.7,2438.1,2904.6,1401.8,2144.8,1023.0
56,0.159614,-0.300000,0.300000,-0.014270,-0.688035,-1.200000,-0.998580,-0.748808,1.062068,0.295505,-0.150000,1.570796,9.145,-17.189,17.189,-0.818,-39.421,-68.755,-57.214,-42.904,60.852,16.931,-8.594,90.000,2151.1,1851.4,2242.6,2056.3,2495.5,2829.3,1396.0,1558.9,2739.4,1854.4,2144.8,1023.0
57,-0.300000,-0.300000,0.300000,-0.278776,-0.337565,-0.884468,-0.833442,-0.740031,0.961419,0.378736,-0.150000,1.570796,-17.189,-17.189,17.189,-15.973,-19.341,-50.676,-47.753,-42.401,55.085,21.700,-8.594,90.000,1851.4,1851.4,2242.6,2228.7,2267.1,2623.6,1503.7,1564.6,2673.7,1800.1,2144.8,1023.0
58,-0.231286,-0.300000,0.300000,-0.300000,-0.596534,-0.295629,-0.573000,-0.475875,1.150164,0.667270,-0.150000,1.570796,-13.252,-17.189,17.189,-17.189,-34.179,-16.938,-32.830,-27.266,65.900,38.232,-8.594,90.000,1896.2,1851.4,2242.6,2242.6,2435.9,2239.7,1673.5,1736.8,2796.8,1612.0,2144.8,1023.0
59,-0.089826,-0.300000,0.300000,-0.300000,-0.564094,-0.709961,-0.426206,-0.485329,1.109369,0.945410,-0.150000,1.570796,-5.147,-17.189,17.189,-17.189,-32.320,-40.678,-24.420,-27.807,63.562,54.168,-8.594,90.000,1988.4,1851.4,2242.6,2242.6,2414.7,2509.8,1769.2,1730.6,2770.2,1430.7,2144.8,1023.0
60,-0.111482,-0.300000,0.300000,-0.300000,-0.307968,-0.293488,-0.132954,-0.221333,0.543926,1.091792,-0.150000,1.570796,-6.387,-17.189,17.189,-17.189,-17.645,-16.816,-7.618,-12.681,31.165,62.555,-8.594,90.000,1974.3,1851.4,2242.6,2242.6,2247.8,2238.3,1960.3,1902.7,2401.6,1335.3,2144.8,1023.0
61,0.289390,-0.300000,-0.299458,0.039558,0.558758,-1.028229,-0.264667,0.318640,0.427446,1.265923,-0.150000,1.570796,16.581,-17.189,-17.158,2.266,32.014,-58.913,-15.164,18.257,24.491,72.532,-8.594,90.000,2235.7,1851.4,1851.8,2021.2,1682.7,2717.3,1874.5,2254.7,2325.7,1221.7,2144.8,1023.0
62,-0.224609,-0.163917,-0.300000,-0.300000,-0.131784,-0.706778,-0.431244,0.600000,1.422684,-0.150000,1.077708,-0.150000,-12.869,-9.392,-17.189,-17.189,-7.551,-40.495,-24.708,34.377,81.514,-8.594,61.748,-8.594,1900.6,1940.1,1851.4,2242.6,2132.9,2507.7,1765.9,2438.1,2974.4,2144.8,1344.4,2144.8
63,0.137837,0.211023,-0.300000,0.300000,0.095238,-0.931211,0.225730,0.047362,0.896626,-0.150000,0.809358,-0.150000,7.897,12.091,-17.189,17.189,5.457,-53.354,12.933,2.714,51.373,-8.594,46.373,-8.594,2136.9,2184.6,1851.4,1851.4,1984.9,2654.1,2194.2,2077.9,2631.5,2144.8,1519.4,2144.8
64,0.179040,0.217522,-0.300000,0.300000,0.110334,-0.634728,0.484448,0.268156,0.484883,-0.150000,0.720498,-0.150000,10.258,12.463,-17.189,17.189,6.322,-36.367,27.757,15.364,27.782,-8.594,41.281,-8.594,2163.7,2188.8,1851.4,1851.4,1975.1,2460.8,2362.8,2221.8,2363.1,2144.8,1577.3,2144.8
65,0.154680,0.139822,-0.300000,0.300000,0.411828,-0.679721,0.555571,0.573422,0.761456,-0.150000,0.542315,-0.127752,8.862,8.011,-17.189,17.189,23.596,-38.945,31.832,32.855,43.628,-8.594,31.072,-7.320,2147.8,2138.1,1851.4,1851.4,1778.5,2490.1,2409.2,2420.8,2543.4,2144.8,1693.5,2130.3
